DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4650187;1;7;1;10;6;2;9;2006;11;4;6;2; ;1;6; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;760,062168814286
4650188;1;1;1;10;1;1;7;1934;83;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;760,062168814286
4650188;1;2;1;10;2;2;6;1934;84;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;760,062168814286
4650188;1;3;1;10;3;1;2;1963;55;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;760,062168814286
4650189;1;1;1;10;1;1;1;1956;62;1;3;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1217,76518045304
4650189;1;2;1;10;2;2;1;1959;59;2;3;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1217,76518045304
4650189;1;3;1;10;2;1;12;2005;12;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;1217,76518045304
4650190;1;1;1;10;1;2;9;1946;71;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1462,80342684161
4650190;1;2;1;10;2;1;5;1983;35;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1462,80342684161
4650191;1;1;1;10;1;2;1;1977;41;1;4;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;06;19;1663,34980715687
4650191;1;2;1;10;2;1;9;2000;17;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;06;19;1663,34980715687
4650191;1;3;1;10;1;2;1;2005;13;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;1663,34980715687
4650192;1;1;1;10;1;1;3;1980;38;1;2;2; ;2; ;1;2;1; ; ;1;1;98;2;1;2; ;3;5; ; ;2;5;06;19;1054,88048219509
4650192;1;2;1;10;2;2;11;1980;37;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;6;1;3; ;2;12;06;19;1054,88048219509
4650193;1;1;1;10;1;1;9;1978;39;1;4;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1563,62218088807
4650195;1;1;1;10;1;2;12;1961;56;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1419,30558358211
4650196;1;1;1;10;1;2;4;1965;53;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1011,38263893559
4650197;1;1;1;10;1;1;6;1966;52;1;2;3; ;3; ;1;2;1; ; ;3; ; ;1;1;2; ;3;1; ; ;2;1;06;19;1377,26342768027
4650197;1;2;1;10;2;2;3;1972;46;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1377,26342768027
4650197;1;3;1;10;1;1;4;1996;22;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1377,26342768027
4650198;1;1;1;10;1;1;4;1979;39;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;6;1;3; ;2;12;06;19;1054,88048219509
4650198;1;2;1;10;2;2;11;1977;40;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1054,88048219509
4650199;1;1;1;10;1;2;3;1937;81;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1462,80342684161
4650199;1;2;1;10;2;1;2;1976;42;3;4;3; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;6;1;3; ;2;12;06;19;1462,80342684161
4650200;1;1;1;10;1;2;8;1990;27;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;06;19;1384,46470493119
4650200;1;2;1;10;2;1;11;1989;28;2;2;2; ;2; ;1;1;2;1;6; ; ; ;2;1;2; ;6;2;3; ;2;13;06;19;1384,46470493119
4650200;1;3;1;10;3;2;8;2005;12;3;6;2; ;1;1; ; ;1; ; ;1;5; ;2;1;1;1;4;7; ; ;2;7;06;19;1384,46470493119
4650201;1;1;1;10;1;1;5;1974;44;1;2;3; ;1;4;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1276,44467363381
4650201;1;2;1;10;2;2;5;1978;40;2;2;2; ;2; ;1;1;1; ; ;1;1;70000;2;1;2; ;5;11;2; ;2;11;06;19;1276,44467363381
4650201;1;3;1;10;2;1;10;2002;15;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;06;19;1276,44467363381
4650201;1;4;1;10;4;2;6;1940;78;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1276,44467363381
4650202;1;1;1;10;1;1;1;1971;47;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1706,84765041637
4650202;1;2;1;10;2;2;1;1979;39;2;3;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1706,84765041637
4650202;1;3;1;10;2;1;2;1998;20;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1706,84765041637
4650202;1;4;1;10;2;2;10;2005;12;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;1706,84765041637
4650203;1;1;1;10;1;2;1;1947;71;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1419,30558358211
4650204;1;1;1;10;3;1;6;1940;78;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1261,26302371254
4650204;1;2;1;10;2;2;9;1950;67;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1261,26302371254
4650204;1;3;1;10;3;1;1;1972;46;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;6;3;3; ;2;14;06;19;1261,26302371254
4650204;1;4;1;10;3;1;10;2004;13;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;1261,26302371254
4650205;1;1;1;10;1;2;12;1955;62;1;3;3; ;3; ;2; ;1; ; ;1;1;21000;2;1;2; ;4;7; ; ;2;7;06;19;2435,92528983411
4650205;1;2;1;10;2;1;1;1982;36;3;6;2; ;1;1; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;06;19;2435,92528983411
4650205;1;3;1;10;3;2;1;1998;20;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2435,92528983411
4650205;1;4;1;10;3;2;1;2017;1;4; ;2; ;1;3; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;06;19;2435,92528983411
4650206;1;1;1;10;1;1;2;1980;38;1;2;2; ;2; ;2; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;06;19;1563,62218088807
4650207;1;1;1;10;1;1;5;1963;55;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;760,062168814286
4650207;1;2;1;10;2;2;9;1964;53;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;760,062168814286
4650208;1;1;1;10;1;2;6;1955;63;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;1327,14379414423
4650208;1;2;1;10;2;1;6;1981;37;3;6;3; ;1;1; ; ;1; ; ;2;1;150000;2;1;2; ;6;6;5; ;2;17;06;19;1327,14379414423
4650208;1;3;1;10;3;2;6;1979;39;3;2;3; ;1;1;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1327,14379414423
4650208;1;4;1;10;4;1;5;1972;46;5;2;3; ;2; ;1;3;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;06;19;1327,14379414423
4650208;1;5;1;10;3;2;1;2003;15;4;6;2; ;1;3; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;06;19;1327,14379414423
4650209;1;1;1;10;1;1;2;1993;25;1;2;2; ;2; ;1;2;2;1;18; ; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1902,72916328863
4650209;1;2;1;10;2;2;2;1995;23;2;2;2; ;2; ;1;1;2;1;18; ; ; ;2;1;2; ;4;6; ; ;2;6;06;19;1902,72916328863
4650209;1;3;1;10;2;1;3;2013;5;3; ;1;1;1;2; ; ;2;1;18; ; ; ;2;2;1;1;2;0; ; ;2;0;06;19;1902,72916328863
4650211;1;1;1;10;2;1;6;1940;78;1;3;3; ;3; ;1;2;1; ; ;3; ; ;1;1;2; ;3;1; ; ;2;1;06;19;895,382234967861
4650211;1;2;1;10;2;2;1;1949;69;2;3;3; ;3; ;1;1;1; ; ;3; ; ;1;2;2; ;1;0; ; ;2;0;06;19;895,382234967861
4650219;1;1;1;10;1;2;1;1987;31;1;2;2; ;2; ;2; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1988,0542350556
4650219;1;2;1;10;1;1;11;2006;11;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;1988,0542350556
4650219;1;3;1;10;1;1;12;2011;6;3; ;2; ;1;1; ; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;2;0;06;19;1988,0542350556
4650219;1;4;1;10;4;1;11;1996;21;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1988,0542350556
