DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4651784;1;2;1;70;2;2;48;1; ;2;2;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;300000;781242;2; ;53;53;55;1;1;06;5521;25;6008,47122674536
4651786;1;1;1;70;2;32;48;1; ;2;32;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;40;21;15;1;2;06;1530;25;1847,6788098406
4651811;1;3;1;70;2;4;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;960000;700000;2; ;61;61;01;1;1;06;0140;25;6815,15853180147
4651811;1;4;1;70;2;24;48;3; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;730000;781242;2; ;54;53;92;1;2;06;9249;25;6815,15853180147
4651813;1;3;1;70;2;32;48;1; ;2;3;1; ;2;2;5; ; ; ; ; ; ; ; ; ; ;1;1;160000;780000;2; ;95;95;45;1;2;06;4521;25;6241,17238788912
4651822;1;3;1;70;2;3;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1300000;781242;2; ;13;13;80;1;1;06;8012;25;1847,6788098406
4652141;1;2;1;70;2;36;30;1; ;2;36;5; ;3;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2000000;2; ;03;16;36;1;2;06;3691;25;3288,9736873112
4652156;1;3;1;70;2;2;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;97;52;1;1;06;5221;25;4986,43302798881
4652156;1;4;1;70;2;5;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;781242;2; ;97;97;52;1;1;06;5211;25;4986,43302798881
4652268;1;3;1;70;2;8;40;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;39; ; ;1;1;06; ;27;1748,3220156684
4652432;1;2;1;70;2;20;40;4; ;2;105;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;55;55;85;1;2;06;8512;41;1282,85763450131
4652464;1;2;1;70;2;3;24;1; ;2;2;3; ;1;2;1; ; ; ;1; ; ; ; ; ; ; ;1;450000;450000;1;4;45;54;95;1;1;06;9500;41;2333,29930403108
4652481;1;3;1;70;2;8;16;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;41; ; ;1;1;06; ;41;1479,19813963113
4652484;1;2;1;70;2;3;45;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781300;2; ;55;61;01;1;1;06;0111;41;698,910298190351
4652531;1;2;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1;06; ;41;2529,0684390874
4652802;1;3;1;70;2;25;44;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ;99; ; ;1;2;06; ;52;3598,50326237882
4652806;1;3;1;70;2;5;25;1; ;2;26;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;95;95;45;1;1;06;4521;52;2051,52135846754
4652809;1;4;1;70;2;13;40;1; ;2;13;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;54;95;1;1;06;9500;52;2447,6604469164
4652812;1;3;1;70;2;4;48;1; ;2;4;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;1;750000;750000;2; ;53;53;55;1;1;06;5521;52;1664,03774321507
4652819;1;3;1;70;2;2;40;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;781242;781242;2; ;45;39;85;1;1;06;8512;52;913,545958659694
4652848;1;2;1;70;2;3;40;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;1000000;2; ;77;98;60;1;1;06;6022;52;2162,04255381178
4652948;1;3;1;70;2;52;40;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;51;1;2;06;5125;52;1323,09199033924
4652959;1;2;1;70;2;8;48;3; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;730000;2; ;54;53;55;1;1;06;5521;54;798,494258226653
4653030;1;1;1;70;2;20;50;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;800000;2; ;71;61;01;1;2;06;0140;54;543,089727832096
4653031;1;3;1;70;2;24;50;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;300000;2; ;54;54;95;1;2;06;9500;54;444,081199907504
4653042;1;3;1;70;2;16;50;1; ;2;20;4; ;9;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;780000;2; ;39;39;75;1;2;06;7512;54;444,081199907504
4653046;1;1;1;70;2;8;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;61;61;01;1;1;06;0140;54;704,297216422109
4653047;1;3;1;70;2;24;50;4; ;2;30;4; ;1;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;61;61;01;1;2;06;0140;54;444,081199907504
4653100;1;1;1;70;2;4;40;4; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ;1; ; ; ;1;300000;600000;2; ;61;62;01;1;1;06;0121;54;862,525986240339
4653109;1;1;1;70;2;3;50;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;1;200000;200000;2; ;61;61;01;1;1;06;0111;54;691,029066523236
