DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4647088;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;44;610,461398431717
4647088;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;610,461398431717
4647089;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;904,178122125718
4647089;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;904,178122125718
4647089;1;6;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;904,178122125718
4647092;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;38;200000; ;1;06;44;771,142345920772
4647092;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;771,142345920772
4647094;1;1;1;80; ;2;1;3;7; ;2; ; ;1; ;2; ;2; ;1;30;250000;2;1;06;44;775,612834482537
4647094;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;775,612834482537
4647094;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;775,612834482537
4647095;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;920,826213830077
4647103;1;2;1;80; ;2;1;1;8; ;2; ; ;12;ESTA ESPERANDO QUE LO CONTRATEN NUEVAMENTE;2; ;1;900000;1;40;700000;2;1;06;44;524,944740774499
4647103;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;20;300000;2;1;06;44;524,944740774499
4647104;1;1;1;80; ;2;1;1;8; ;2; ; ;12;ESTA ESPERANDO EL LLAMADO PARA EL PROXIMO CONTRATO;2; ;1;450000;1;40;400000;2;1;06;44;702,915739618431
4647104;1;2;1;80; ;2;1;1;3; ;2; ; ;1; ;2; ;2; ;1;38;200000;2;1;06;44;702,915739618431
4647105;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;674,3276931579
4647109;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;532,196122799299
