DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
4634617;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;1;06;05;1029,66627338275;05
4634617;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1029,66627338275;05
4634618;1;1;1;90;2; ;1;8;1;3;2; ;1;8;2; ;2; ;2; ;2; ;2; ;1;06;05;1172,74738660748;05
4634618;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1172,74738660748;05
4634618;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1172,74738660748;05
4634619;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1506,82187265052;05
4634619;1;2;1;90;2; ;1;42;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1506,82187265052;05
4634619;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1506,82187265052;05
4634620;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634620;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634620;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634621;1;1;1;90;2; ;1;21;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1331,27474302865;05
4634621;1;2;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1331,27474302865;05
4634622;1;1;1;90;2; ;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1514,53813878319;05
4634622;1;2;1;90;2; ;1;2;1;25;1;35;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1514,53813878319;05
4634622;1;3;1;90;2; ;1;35;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1514,53813878319;05
4634623;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1186,10085224936;05
4634623;1;2;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;16;1;06;05;1186,10085224936;05
4634624;1;1;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1186,10085224936;05
4634624;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1186,10085224936;05
4634625;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1231,10784411506;05
4634626;1;1;1;90;2; ;1;5;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1498,77326706532;05
4634626;1;2;1;90;2; ;1;30;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1498,77326706532;05
4634627;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1083,64047286839;05
4634627;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;3;1;06;05;1083,64047286839;05
4634628;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1150,97209799146;05
4634629;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1107,22000760859;05
4634629;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1107,22000760859;05
4634629;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1107,22000760859;05
4634630;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1150,97209799146;05
4634631;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634631;1;2;1;90;2; ;1;27;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634631;1;3;1;90;2; ;1;26;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634632;1;1;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1118,76922712628;05
4634632;1;2;1;90;2; ;1;7;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1118,76922712628;05
4634632;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1118,76922712628;05
4634633;1;1;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1101,58280809938;05
4634633;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1101,58280809938;05
4634633;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1101,58280809938;05
4634633;1;4;1;90;2; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1101,58280809938;05
4634634;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1182,26789886433;05
4634634;1;2;1;90;2; ;1;18;2; ;2; ;1;15;2; ;2; ;2; ;2; ;2; ;1;06;05;1182,26789886433;05
4634635;1;1;1;90;2; ;1;28;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1506,82187265052;05
4634635;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1506,82187265052;05
4634635;1;4;1;90;2; ;1;7;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1506,82187265052;05
4634636;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1029,66627338275;05
4634636;1;2;1;90;2; ;1;7;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1029,66627338275;05
4634637;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1536,86277204056;05
4634637;1;2;1;90;2; ;1;45;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1536,86277204056;05
