DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4650440;1;1;1;6; ;4;8;5;5;5; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;3;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;744,691960159803
4650441;1;2;2;6; ;4;8;5;5;5; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;5;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;706,191442657055
4650442;1;1;1;6; ;4;8;5;5;5; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;7;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;774,839911930714
4650482;1;3;2;2;1;1;1;1;3;4; ; ; ;120000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;4;2; ;1;2;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1377,84930887529
4650484;1;2;1;2;1;1;1;1;3;3; ; ; ; ;80000;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;3;2; ;1;2;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1724,67337789916
4650485;1;3;2;2;1;1;1;1;3;5; ; ; ;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;2;2;2;1;2;4;2; ;1;1;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1409,71454617269
4650486;1;2;1;2;1;1;1;1;4;3; ; ; ; ;150000;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;4;4;2; ;1;2;1;2;1;1;2;2;1;2;1;2;01;2;06;44;1769,06524956437
4650487;1;4;2;2;1;1;1;1;3;5; ; ; ;100000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;1;2;1;2;4;2; ;1;1;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1414,11952862362
4650488;1;2;1;2;1;1;1;1;4;3; ; ; ; ;80000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;3;2; ;1;2;1;2;1;1;2;2;1;2;1;2;01;2;06;44;1292,45472061879
4650489;1;4;3;2;1;1;1;4;4;3; ; ; ; ;70000;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;7;2; ;1;1;5;2;1;0;2;2;1;2;1;2;01;2;06;44;1719,78846049425
4650490;1;3;2;2;1;1;1;4;3;4; ; ; ;150000; ;2;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;1;2;3;2; ;1;1;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1288,04973816786
4650491;1;3;1;2;1;1;1;1;3;5; ; ; ;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;1;2;1;2;5;2; ;1;2;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1564,98751658104
4650492;1;2;1;2;1;1;1;4;4;3; ; ; ; ;80000;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;1;2;1;2;01;2;06;44;1414,11952862362
4650493;1;4;2;2;1;1;1;2;3;3; ; ; ; ;100000;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;3;4;2; ;1;1;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1382,25429132623
4650494;1;2;1;2;1;1;1;1;3;3; ; ; ; ;50000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;3;4;2; ;1;2;4;2;1;1;1;2;1;2;1;2;01;2;06;44;1488,73040761843
4650495;1;2;1;2;1;1;1;4;3;3; ; ; ; ;200000;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;5;2; ;1;1;1;2;1;1;1;2;1;2;1;2;01;2;06;44;1535,78433662845
4650496;1;2;2;2;1;1;1;1;4;4; ; ; ;98; ;2;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;1;2;2;1;4;5;2; ;1;1;1;4;1;2;2;2;1;2;1;1;01;2;06;05;1075,39446508374
