DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4634818;1;2;1;80;17;1;1;3;2; ;2; ; ;2; ;1;1;2; ;2; ;2000000;1;1;06;17;147,364724501842
4634819;1;1;1;80;17;1;1;2;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;187,21173341326
4634819;1;3;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;187,21173341326
4634820;1;1;1;80;17;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;17;188,222670597937
4634820;1;2;1;80;17;1;1;4;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;17;188,222670597937
4634821;1;1;1;80;17;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;170,314810820172
4634822;1;1;1;80;17;1;1;4;5; ;1; ;4;10; ;3; ;2; ; ; ; ;3;1;06;17;200,631232373776
4634824;1;4;1;80;17;1;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;06;17;144,353185520246
4634825;1;2;1;80;17;1;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;248,514821148858
4634826;1;2;1;80;17;1;1;3;1; ;2; ; ;12;ES ALCOHOLICO;1;4;2; ; ; ; ;1;1;06;17;150,661675644182
4634827;1;1;1;80;17;1;1;3;3; ;2; ; ;9; ;3; ;2; ;2; ;2000000;3;1;06;17;170,314810820172
4634827;1;2;1;80;17;1;1;3;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;17;170,314810820172
4634828;1;3;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;174,903660900106
4634828;1;4;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;174,903660900106
4634830;1;1;1;80;17;1;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;200,631232373776
4634832;1;1;1;80;17;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;182,318776535006
4634832;1;2;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;182,318776535006
4634833;1;2;1;80;17;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;175,129283826366
4634833;1;3;1;80;17;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;17;175,129283826366
4634835;1;1;1;80;17;1;1;4;9;BAJA REMUNERACION SALARIAL;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;200,631232373776
4634838;1;1;1;80;17;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;192,556194279178
4634838;1;2;1;80;17;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;192,556194279178
4634838;1;4;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;192,556194279178
4634839;1;1;1;80;17;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;139,741190394908
4634839;1;2;1;80;17;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;139,741190394908
4634839;1;3;1;80;17;1;1;4;8; ;1; ;2;1; ;2; ;1;100000;1;48;781242;2;1;06;17;139,741190394908
4634839;1;4;1;80;17;1;1;4;7; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;17;139,741190394908
