DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4634650;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634651;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634652;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1318,47062202813
4634653;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634654;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634654;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634655;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1150,97209799146
4634660;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634660;1;2;1;50;05;1; ; ;2;6;DESCANSANDO VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634661;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1159,94326560696
4634661;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1159,94326560696
4634663;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1182,26789886433
4634663;1;2;1;50;05;1; ; ;2;6;VER TV;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1182,26789886433
4634664;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1585,70271729129
4634664;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1585,70271729129
4634665;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634666;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1159,94326560696
4634666;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1159,94326560696
4634667;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1150,97209799146
4634668;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634669;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1029,66627338275
4634669;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1029,66627338275
4634670;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1066,10028848608
4634670;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1066,10028848608
4634670;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1066,10028848608
4634670;1;4;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;06; ;1;05;1066,10028848608
4634672;1;1;1;50;05;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634672;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1163,77621899198
4634673;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1154,80505137649
4634675;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1231,10784411506
4634676;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;06; ;1;05;1585,70271729129
4634676;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;06;2;1;05;1585,70271729129
